"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"762073455","Engineering a compiler","Keith D Cooper; Linda Torczon","","book_printbook","Engineering a compiler.","San Francisco, Calif. : Morgan Kaufmann, 2011.","","","2019-12-03 00:01"
"695616264","The art of computer programming, volume 1","Donald Ervin Knuth","English","book_printbook","","Upper Saddle River, NJ : Addison-Wesley, 2005-","","","2019-12-03 00:01"
"962379017","Multicore and GPU Programming : an Integrated Approach","Gerassimos Barlas","English","book_printbook","","Waltham : Morgan Kaufmann, cop. 2015.","","","2019-12-03 00:01"
"1050527134","Operating system design : the Xinu approach","Douglas Comer","English","book_printbook","","Boca Raton : Chapman & Hall/CRC, 2015.","","","2019-12-03 00:01"
"1050685299","Deep Belief Nets in C++ and CUDA C: Volume 3 : Convolutional Nets","Timothy Masters","English","book_digital","","Berkeley, CA : Apress, 2018","","","2019-12-03 00:01"
"1105797147","Art of Computer Programming, Volume 4A, The: Combinatorial Algorithms, Part 1","Donald Knuth; Safari, an O'Reilly Media Company.","English","book_digital","","Addison-Wesley Professional, 2014.","","","2019-12-03 00:01"
"1019854627","GPU parallel program development using CUDA","Tolga Soyata","English","book_printbook","","Boca Raton, FL : CRC Press, Taylor & Francis Group, [2018]","","","2019-12-03 00:01"
"488883977","The C programming language","Brian W Kerninghan; Dennis M Ritchie","English","book_printbook","","Englewood Cliffs : Prentice Hall, 1998","","","2019-12-03 00:01"
"870911424","Numerical recipes in C : the art of scientific computing","William H Press; Saul A Teukolsky; William T Vetterling; Brian P Flannery","English","book_digital","","Cambridge : Cambridge University Press, 2002.","","","2019-12-03 00:01"
"1024179986","Statistical inference","George Casella; Roger L Berger;","English","book_printbook","","Belmont, CA : Brooks/COle Cengage Learning, [2017]","","","2019-12-03 00:01"
"45596311","Principles of compiler design","Alfred V Aho; Jeffrey D Ullman","English","book_printbook","","New Delhi, India : Narosa Publ. House, 1999, ©1977.","","","2019-12-03 00:01"
"699234525","The algebraic eigenvalue problem","James H Wilkinson","English","book_printbook","","Oxford : Clarendon Press, 2009.","","","2019-12-03 00:01"
"867134110","Matrix computations","Gene Howard Golub; Charles F Van Loan","English","book_printbook","","Baltimore : The Johns Hopkins University Press, cop. 2013.","","","2019-12-03 00:01"
"1105780007","Art of Computer Programming, Volume 2, The: Seminumerical Algorithms","Donald Knuth; Safari, an O'Reilly Media Company.","English","book_digital","","Addison-Wesley Professional, 2014.","","","2019-12-03 00:01"
"1090439844","The CUDA handbook : a comprehensive guide to GPU programming","Nicholas Wilt","English","book_printbook","","Boston : Addison-Wesley, 2019.","","","2019-12-03 00:01"
"1120905393","The art of computer programming Volume 3: Sorting and Searching","Donald Ervin Knuth","English","book_printbook","","Upper Saddle River, NJ : Addison-Wesley, [2012]","","","2019-12-03 00:01"
