"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"552253999","The books of Joel, Obadiah, Jonah, and Micah","Leslie C Allen","English","book_printbook","","Grand Rapids, Mich. Eerdmans 2008","","","2019-12-03 16:22"
"1062334371","God's word alone : the authority of scripture : what the reformers thought - and and why it still matters","Matthew Barrett; R  Albert Mohler, Jr.","English","book_printbook","","Grand Rapids : Zondervan, 2016.","","","2019-12-03 14:41"
"881665070","The Holy Bible : authorized King James version.","Holman Bible Publishers,;","English","book_printbook","","Nashville, Tennessee : Holman Bible Publishers, [1998] ©1996","","","2019-12-02 23:45"
"964500671","Holy Bible New International Version, Revolution Bible - the Bible for Teen Guys.","Livingstone Corporation; Hudson, Christopher D.","English","book_printbook","","Zondervan 2017.","","","2019-12-02 23:45"
"213334637","The Orthodox study Bible","St. Athanasius Orthodox Academy,;","English","book_printbook","","[Nashville, TN] : Thomas Nelson, [2008]","","","2019-12-02 23:44"
"1127165105","Athlete's Bible","Fellowship of Christian Athletes; Holman Bible Holman Bible Staff","English","book_digital","","Nashville : B&H Publishing Group, 2019.","","","2019-12-02 23:44"
"1086778007","The English hexapla.","J  Martin Augustin Scholz;","English","book_printbook","","New York : AMS Press, 1975.","","","2019-12-02 23:43"
"47831231","Holy Bible : English Standard Version.","","English","book_printbook","","Wheaton, Ill. : Crossway Bibles, ©2001.","","","2019-12-02 23:43"
"1042864714","The Holy Bible : new international version.","Gideons International,;","English","book_printbook","","Lutterworth, England : The Gideons International in the British Isles, 2012","","","2019-12-02 23:43"
"1012119818","God is not great : how religion poisons everything","Christopher Hitchens","English","book_printbook","","London : Atlantic Books, 2017. ©2007","","","2019-12-02 23:42"
"32969635","Courage to pray","Anthony Bloom; Georges Lefebvre","English","book_printbook","","Crestwood, N.Y. : St. Vladimir's Seminary Press, 2002.","","","2019-12-02 23:41"
"1011089125","The God delusion","Richard Dawkins","English","book_printbook","","London : Black Swan, [2016]","","","2019-12-02 23:41"
"921867981","Deep & Wide Creating Churches Unchurched People Love to Attend.","Stanley, Andy.; Parks, Tom","English","audiobook","","Brilliance Audio 2016.","","","2019-12-02 23:41"
"1011723526","Love wins : a book about Heaven, Hell, and the fate of every person who ever lived","Rob Bell","English","audiobook","","Toronto : CNIB, 2013.","","","2019-12-02 23:40"
